actual,proposed
0.0,29.945552825927734
0.0,30.62908363342285
0.0,31.241559982299805
0.0,31.785717010498047
0.0,32.30894470214844
0.0,32.76728439331055
0.0,33.2079963684082
0.0,33.58699417114258
0.0,33.90665054321289
0.0,34.21401596069336
0.0,34.50955581665039
0.0,34.83849334716797
0.0,35.458900451660156
0.0,35.70656204223633
0.0,35.98945999145508
0.0,36.261478424072266
0.0,36.52303695678711
0.0,36.774532318115234
0.0,37.016357421875
0.0,37.248878479003906
0.0,37.42769241333008
